ingresos,edad,compras_previas,descuento_aplicado,gasto_total
57450.71229516849,59,0,0,133.03835514312286
47926.03548243223,34,6,1,339.151619926413
59715.32807151039,48,4,1,323.5065490099508
72845.44784612038,51,2,0,198.0705533065677
46487.69937914996,55,6,1,330.76023782617517
46487.945645762295,54,2,0,174.26101771335635
73688.19223261088,21,4,0,170.59950412171747
61511.52093729363,19,5,1,326.2368860073228
42957.88421097572,29,1,0,123.32194781054473
58138.40065378947,52,2,1,275.36192707612304
43048.734607813065,23,0,0,75.41030384277148
43014.05369644615,63,4,1,319.1932030739947
53629.43407349051,25,0,0,92.5252537485743
21300.79633013303,38,2,0,120.55240076851446
24126.23251230451,63,1,0,146.72788043727766
41565.68706138541,52,4,1,290.50144043991446
34807.53319498364,32,0,0,94.55877689304847
54713.709988929106,24,3,0,99.29238425028537
36379.638867181835,32,1,0,72.04379241731414
28815.44447997063,62,1,0,131.18263714593175
71984.7315338233,23,2,0,153.90289399647875
46613.355492701965,64,1,0,122.35581789944052
51012.92307031886,34,1,0,73.5668671704656
28628.77720679815,21,3,1,260.10197913970063
41834.25913212226,39,3,0,143.8892155271305
51663.83884564799,49,7,1,371.98797343441163
32735.09633866546,39,2,1,265.62121093931125
55635.47027518508,44,5,1,381.2528020584111
40990.419651217926,63,3,0,143.43173915500336
45624.593753100846,32,1,0,98.08534371431489
40974.40081655905,61,1,0,164.50844121806603
77784.17276763407,39,1,0,185.49709400373598
49797.541628930994,45,3,1,329.63584823223164
34134.3360656615,59,4,0,189.42525717738266
62338.173681547836,55,5,1,352.5197381572793
31687.345250434668,26,1,0,91.02910762353417
53132.95392507133,51,5,1,290.514089617044
20604.948141803365,53,4,1,284.4660960523246
30077.209266523543,26,3,1,253.6731260216917
52952.91853803685,32,4,1,305.75421064383966
61076.99869993116,62,3,0,129.0910742281185
52570.524217849554,37,3,0,117.19400785798082
48265.27576417639,25,6,1,329.1807583266035
45483.444566160666,45,2,0,144.60673935869715
27822.17014448859,36,4,0,126.38069602861857
39202.33687407937,33,6,1,284.25375562887825
43090.41843560319,28,5,1,310.2928976615444
65856.83339328374,59,1,0,145.727199861652
55154.27434352692,25,4,0,146.72642443349855
23554.39766955899,50,4,1,311.8900688178017
54861.25954092192,27,1,1,306.6361028008523
